City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,nzega,-2.479,29.5564,287.84,96,100,1.04,RW,1715308681
214,vorkuta,67.5,64.0,270.99,74,100,9.39,RU,1715308458
215,jamestown,42.097,-79.2353,284.92,93,100,3.09,US,1715308685
216,fuyang,32.9,115.8167,301.54,33,0,4.22,CN,1715308688
217,guerrero negro,27.9769,-114.0611,289.18,79,41,7.12,MX,1715308690
218,weno,7.4515,151.8468,305.12,74,75,5.14,FM,1715308372
219,kristiansund,63.1115,7.732,276.51,87,40,1.54,NO,1715308693
220,arteche,12.2645,125.4048,303.55,60,76,3.56,PH,1715308607
221,longyearbyen,78.2186,15.6401,273.06,64,75,9.26,SJ,1715308607
222,la passe,45.5549,-0.8967,286.71,91,22,4.02,FR,1715308697
223,conduaga,8.862,117.4893,305.97,54,26,2.53,PH,1715308699
224,duong dong,10.2167,103.9667,304.15,74,40,6.69,VN,1715308700
225,kingston,17.997,-76.7936,302.68,74,20,5.66,JM,1715308601
226,nsanje,-16.92,35.262,290.57,94,0,0.46,MW,1715308703
227,hithadhoo,-0.6,73.0833,302.18,76,23,3.73,MV,1715308704
228,hami,42.8,93.45,296.85,24,0,4.01,CN,1715308705
229,mahavelona,-17.6848,49.5087,294.14,90,45,2.94,MG,1715308706
230,uturoa,-16.7333,-151.4333,301.17,69,18,3.94,PF,1715308374
231,city of balikpapan,-1.242,116.8942,303.12,84,100,2.57,ID,1715308709
232,lautoka,-17.6167,177.4667,301.07,47,40,6.69,FJ,1715308710
233,hermanus,-34.4187,19.2345,286.12,78,0,3.98,ZA,1715308711
234,college,64.8569,-147.8028,285.41,47,75,6.17,US,1715308712
235,el alto,-4.2714,-81.2147,292.96,79,97,5.82,PE,1715308715
236,melfort,52.8667,-104.6177,290.22,23,100,3.6,CA,1715308716
237,sitka,57.0531,-135.33,283.09,81,100,8.75,US,1715308717
238,papao,-17.75,-149.55,301.97,70,4,2.24,PF,1715308719
239,kapa'a,22.0752,-159.319,299.33,80,0,4.12,US,1715308395
240,lillesand,58.2488,8.3778,281.42,100,40,2.57,NO,1715308721
241,vadso,70.0744,29.7487,272.24,74,75,4.63,NO,1715308723
242,mani,4.8172,-72.2886,296.48,97,100,0.44,CO,1715308724
243,machico,32.7,-16.7667,293.5,79,40,2.06,PT,1715308726
244,sao felix do xingu,-6.6447,-51.995,295.89,88,98,0.97,BR,1715308728
245,kirakira,-10.4544,161.9205,301.76,73,71,4.83,SB,1715308730
246,katabu,-4.9333,122.5167,304.07,57,60,3.38,ID,1715308732
247,port saint john's,-31.6229,29.5448,293.9,55,5,2.23,ZA,1715308734
248,bijie,27.3125,105.2942,294.84,62,100,6.07,CN,1715308736
249,haiku-pauwela,20.9219,-156.3051,296.07,93,100,6.17,US,1715308726
250,dire dawa,9.5931,41.8661,294.41,73,50,2.84,ET,1715308740
251,nema,57.5067,50.5011,272.4,89,100,6.68,RU,1715308742
252,kavaratti,10.5669,72.642,302.99,69,99,4.71,IN,1715308744
253,faya-largeau,17.9257,19.1043,305.32,15,62,4.63,TD,1715308746
254,mount pearl,47.5166,-52.7813,276.18,92,100,2.57,CA,1715308748
255,tamanrasset,22.785,5.5228,294.1,10,0,1.54,DZ,1715308750
256,happy valley-goose bay,53.3168,-60.3315,276.32,81,75,1.54,CA,1715308752
257,bajil,15.0584,43.2851,305.63,55,83,2.2,YE,1715308754
258,riachao das neves,-11.7461,-44.91,292.24,46,16,0.82,BR,1715308756
259,pullman,46.7313,-117.1796,296.28,49,0,2.57,US,1715308758
260,at taj,24.2049,23.2857,297.3,16,11,3.33,LY,1715308383
261,minas de marcona,-15.2119,-75.1103,286.21,87,70,6.1,PE,1715308761
262,ebon,4.582,168.6964,301.74,79,69,3.35,MH,1715308762
263,al hada,21.3675,40.2869,291.81,48,0,0.73,SA,1715308522
264,chala,-7.5833,31.2667,286.73,95,98,1.95,TZ,1715308765
265,katsuren-haebaru,26.3369,127.8719,298.76,54,40,5.14,JP,1715308766
266,flying fish cove,-10.4217,105.6791,299.97,83,100,6.69,CX,1715308379
267,kidal,18.4411,1.4078,304.4,6,1,5.49,ML,1715308370
268,qaqortoq,60.7167,-46.0333,274.25,75,100,0.73,GL,1715308769
269,lompoc,34.6391,-120.4579,289.38,77,0,2.57,US,1715308395
270,tarko-sale,64.9225,77.785,275.08,99,100,9.64,RU,1715308770
271,ciudad del carmen,18.6333,-91.8333,305.17,66,0,1.03,MX,1715308635
272,carutapera,-1.195,-46.02,298.85,88,100,2.37,BR,1715308772
273,thinadhoo,0.5333,72.9333,302.3,76,100,4.93,MV,1715308773
274,jhawarian,32.3614,72.6228,308.59,25,16,5.33,PK,1715308774
275,ixtapa,20.7,-105.2,298.72,73,0,2.57,MX,1715308775
276,hartford,41.7668,-72.7662,288.3,76,75,4.12,US,1715308661
277,guiglo,6.5456,-7.4966,297.04,96,96,0.76,CI,1715308777
278,fedorovskiy,45.0972,40.9517,283.45,81,100,2.38,RU,1715308778
279,bichura,50.5881,107.6022,277.72,81,99,10.05,RU,1715308779
280,yeniseysk,58.4497,92.1703,278.68,72,100,4.02,RU,1715308780
281,saint-pierre,-21.3393,55.4781,295.97,83,75,7.72,RE,1715308386
282,ad dabbah,18.05,30.95,298.14,10,4,2.18,SD,1715308782
283,puerto san jose,13.9256,-90.8244,302.66,69,41,3.15,GT,1715308783
284,brentwood estates,36.0251,-86.7792,296.86,72,20,3.09,US,1715308785
285,cabedelo,-6.9811,-34.8339,297.52,83,17,4.88,BR,1715308787
286,ta`u,-14.2336,-169.5144,300.97,80,100,3.54,AS,1715308788
287,anadyr,64.75,177.4833,268.43,73,75,2.0,RU,1715308790
288,tarrafal,15.2833,-23.7667,298.59,77,29,5.15,CV,1715308791
289,guasdualito,7.2424,-70.7324,297.13,100,40,0.0,VE,1715308792
290,taroa,8.7058,171.2275,300.88,83,99,8.21,MH,1715308794
291,pimentel,-6.8367,-79.9342,293.31,77,0,9.26,PE,1715308796
